名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,览众数据,杭州·滨江区·长河,11-20K·14薪,经验不限本科,范先生数据分析师,数据服务B轮100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    SQL
                                                    Python
                                                    服装
                                        ",数据分析,五险一金，带薪年假，餐补，节日福利，年终奖，零食下午茶,https://www.zhipin.com/job_detail/717147c1a592fb341nV73tm1GVBV.html,https://www.zhipin.com/gongsi/59532a2b68832c431Hd429m8.html
数据分析师,万斯威尔(上海)...,上海·浦东新区·张江,10-15K,1-3年本科,匡女士人事,其他服务业未融资20-99人,"
                                                    数据分析
                                        ",数据分析,全勤奖，餐补，五险一金，零食下午茶，带薪年假，员工旅游，节日福利，年终奖,https://www.zhipin.com/job_detail/a928a3fa72ff9b8b1nR_2d-1E1pW.html,https://www.zhipin.com/gongsi/16bf8753d6dee61b0HZ73N67FA~~.html
数据分析师(实习),傲创资产,杭州·萧山区·钱江世纪城,90-110元/天,5天/周6个月大专,陈先生CEO兼投资总监,基金不需要融资20-99人,"
                                                    Python
                                                    数据库
                                                    数据分析
                                                    数据可视化
                                        ",Python,住房补贴，年终奖，股票期权，包吃，全勤奖，零食下午茶，员工旅游，节日福利，餐补,https://www.zhipin.com/job_detail/5306ce3f62153b1b1nV929y8GVdR.html,https://www.zhipin.com/gongsi/774db8ce5aba90fc1nB429S6EQ~~.html
数据分析师,新大陆,福州·马尾区·名城港湾,10-11K,1-3年本科,李先生创新发展中心hr,电子/半导体/集成电路已上市1000-9999人,"
                                                    分布式技术
                                                    Hadoop
                                                    Spark
                                                    数据分析
                                                    数据挖掘
                                        ",分布式技术,带薪年假，年终奖，五险一金,https://www.zhipin.com/job_detail/9c9b3e5ff41a12f01nRy09u_F1VQ.html,https://www.zhipin.com/gongsi/e268d549c3e3b54c1HRy3dm0FQ~~.html
数据分析师,思睿达,济宁·任城区·杨柳国际新城,3-6K,1-3年大专,赵女士人事总监,批发/零售20-99人,"
                                                    采购管理
                                                    供应商管理
                                                    供应链管理
                                                    采购专员
                                                    库存管理
                                        ",采购管理,零食下午茶，节日福利，五险一金，带薪年假，员工旅游,https://www.zhipin.com/job_detail/9d5e435e4a5106ed1nV909y_F1NZ.html,https://www.zhipin.com/gongsi/5e0ce050ef0cbab90HF42ty0FQ~~.html
数据分析师,亿保创元,北京·丰台区·宋家庄,8-13K,1-3年本科,杨女士行政人事,企业服务A轮20-99人,"
                                                    Python
                                        ",Python,股票期权，五险一金，零食下午茶，咖啡，啤酒，年终奖，员工旅游,https://www.zhipin.com/job_detail/0bb9eb4f0c7631931nV93t68GFVU.html,https://www.zhipin.com/gongsi/bb29abf1d8e3154a1nF92dy4EQ~~.html
数据分析师,海尚海梯,青岛·崂山区·东韩,9-14K,1-3年硕士,罗先生总经理,计算机软件未融资10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    Python
                                                    R语言
                                                    物联网
                                        ",数据分析,带薪年假，节日福利，定期体检，餐补，五险一金，年终奖,https://www.zhipin.com/job_detail/629ef98d18b5d6d71nRy2Ni_EFtS.html,https://www.zhipin.com/gongsi/dba26e3f721de6831nVy0t-9EFc~.html
数据分析师,拼室友,北京·朝阳区·双井,15-30K·13薪,1-3年本科,田先生技术总监,数据服务A轮20-99人,"
                                                    数据分析
                                                    Python
                                                    Flask
                                                    Elixir
                                        ",数据分析,定期体检，股票期权，零食下午茶，带薪年假，员工旅游，年终奖，节日福利，补充医疗保险，五险一金,https://www.zhipin.com/job_detail/8b8eb23f91f1cef61nR739S0EVVV.html,https://www.zhipin.com/gongsi/dc128b7207dad7613nx72dq6.html
数据分析师,维卓,深圳·南山区·科技园,10-15K,1-3年本科,程女士招聘者,移动互联网不需要融资100-499人,"
                                                    数据分析
                                        ",数据分析,零食下午茶，带薪年假，加班补助，定期体检，补充医疗保险，五险一金，节日福利，员工旅游，年终奖,https://www.zhipin.com/job_detail/e5d1368df538fa391nR42tq6EFJQ.html,https://www.zhipin.com/gongsi/073abaf93d6b4d0d1nd72Nu0.html
数据分析师,中机软云,青岛·崂山区·崂山风景区,10-15K,3-5年硕士,宋女士风控总监,互联网未融资20-99人,"
                                                    数据分析
                                                    数据治理
                                                    数据结构
                                                    数据挖掘
                                                    数据仓库
                                        ",数据分析,五险一金，带薪年假，股票期权，节日福利，零食下午茶，提供午餐，全额公积金,https://www.zhipin.com/job_detail/749e09e46ce1b3f11nV63dS1GFtV.html,https://www.zhipin.com/gongsi/2464574828a16dd31nZ93N-0EVI~.html
数据分析师,裔森服饰,上海·闵行区·吴泾,7-9K·13薪,1-3年本科,王女士招聘者,服装/纺织/皮革不需要融资500-999人,"
                                                    数据分析
                                        ",数据分析,员工旅游，带薪年假，通讯补贴，定期体检，餐补，五险一金，年终奖,https://www.zhipin.com/job_detail/b8c627d39a1d7d321nR52N6-FVVW.html,https://www.zhipin.com/gongsi/08591e5b796641dc1n182t-5FA~~.html
数据分析师,天正聚合,深圳·福田区·福田保税区,13-25K·14薪,1-3年本科,林先生产品总监,计算机软件A轮100-499人,"
                                                    数据分析
                                        ",数据分析,节日福利，员工旅游，零食下午茶，意外保险，定期体检，补充医疗保险，年终奖，股票期权，五险一金，带薪年假,https://www.zhipin.com/job_detail/a8c9fbdb28f1dd4d1nV609--EVNS.html,https://www.zhipin.com/gongsi/12b67188464d98dc031_29u9GQ~~.html
数据分析师,清云智通,南京·秦淮区·马群,11-22K·14薪,经验不限本科,王女士HR,计算机软件A轮20-99人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,五险一金，补充医疗保险，带薪年假，节日福利，零食下午茶，餐补,https://www.zhipin.com/job_detail/c3f231d35b2816b01nR_3N28FFBU.html,https://www.zhipin.com/gongsi/4fe7a0cf12a63ab203Ry0tS9Eg~~.html
数据分析师,翼海云峰,南京·雨花台区·铁心桥,13-20K,1-3年本科,张女士人事专员,数据服务未融资100-499人,"
                                                    SQL
                                        ",SQL,定期体检，零食下午茶，加班补助，五险一金，带薪年假，年终奖,https://www.zhipin.com/job_detail/791695a472edbed71nV93dm5F1VT.html,https://www.zhipin.com/gongsi/50a6af3d6727b43d03x62dm0FA~~.html
数据分析师,橙新科技,广州·天河区·车陂,10-11K,1-3年本科,李女士HRM,游戏A轮20-99人,"
                                                    数据分析
                                        ",数据分析,,https://www.zhipin.com/job_detail/6b20ed1a6d719bb51nV62N2_EFBQ.html,https://www.zhipin.com/gongsi/6211965b8774146f1nB80tm5GA~~.html
数据分析师,中海华晟,银川·金凤区·阅海,6-8K·13薪,1-3年本科,王女士数据分析,通信/网络设备未融资20-99人,"
                                                    数据分析
                                                    SQL
                                                    Python
                                                    R语言
                                                    Excel
                                        ",数据分析,员工旅游，节日福利，通讯补贴，定期体检，加班补助，项目奖金，餐补，带薪年假，五险一金，生日福利,https://www.zhipin.com/job_detail/c411e1bfa25464a31nR72du1FFNS.html,https://www.zhipin.com/gongsi/d8c6a7a1e5521eb91nZ43tu9.html
数据分析师,高风电子,北京·海淀区·牡丹园,25-40K·15薪,经验不限本科,郑先生经理,电子/半导体/集成电路100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    Python
                                                    SPSS
                                                    SAS
                                        ",数据分析,,https://www.zhipin.com/job_detail/85eb24e7a85978951nR7096-GFFU.html,https://www.zhipin.com/gongsi/b760a21cc28242e41nR_2d26GFM~.html
数据分析师,chaindigg,北京·海淀区·上地,8-12K·13薪,1-3年本科,张女士HR,互联网B轮20-99人,"
                                                    数据分析
                                        ",数据分析,交通补助，餐补，定期体检，零食下午茶，通讯补贴，带薪年假，年终奖，五险一金，股票期权，员工旅游，补充医疗保险，节日福利,https://www.zhipin.com/job_detail/c2938d9b3dfc3d5d1nR63ti-FlNR.html,https://www.zhipin.com/gongsi/8bd2fd9e29f6a5331nB60ty8FQ~~.html
数据分析师,江西成春,南昌·南昌县·昌东,11-16K,经验不限大专,陈先生招聘者,贸易/进出口20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                                    商业分析
                                                    数据开发
                                        ",数据分析,,https://www.zhipin.com/job_detail/7b6efcc846e668481nR50t29F1tR.html,https://www.zhipin.com/gongsi/4e05381207f4c2321nZ409q5Flo~.html
数据分析师,早道教育,大连·甘井子区·万达,5-10K,3-5年本科,孙先生高级总监,互联网A轮500-999人,"
                                                    数据分析
                                        ",数据分析,全勤奖，股票期权，带薪年假，年终奖，五险一金，员工旅游，节日福利,https://www.zhipin.com/job_detail/9488ceec3a812a2c1nR629y6FlRX.html,https://www.zhipin.com/gongsi/7f8df5ee671f93b51nx43N4~.html
数据分析师,上海直真君智,无锡·滨湖区·蠡湖,8-13K,1-3年本科,黄女士人事,计算机软件未融资100-499人,"
                                                    数据分析
                                                    SQL
                                                    BI
                                        ",数据分析,定期体检，餐补，生日卡，节日福利，年终奖，加班补助，带薪年假，员工旅游，五险一金，通讯补贴,https://www.zhipin.com/job_detail/19ce15c9b90fa58f1nRy2NW7GFdY.html,https://www.zhipin.com/gongsi/f089d5785a56df8703B92d6-.html
数据分析师,上海涵连,北京·石景山区·鲁谷,13-20K,1-3年本科,梁先生咨询总监,电子商务20-99人,"
                                                    数据分析
                                                    R
                                                    大数据
                                                    商业分析
                                        ",数据分析,,https://www.zhipin.com/job_detail/f01cfb0bbc16603d1nR53ty4FlFY.html,https://www.zhipin.com/gongsi/64d5faa90b5fa3331nV53d60ElM~.html
数据分析师,衍金数据,深圳,18-35K,3-5年本科,张女士行政,数据服务A轮20-99人,"
                                                    大数据
                                                    算法
                                        ",大数据,,https://www.zhipin.com/job_detail/411dda647cbf5e4e1nV93tu-ElFU.html,https://www.zhipin.com/gongsi/44f6a7224b1cc4d01nd539-_EFY~.html
数据分析师,宝申数字科技,上海·闵行区·七宝,15-25K,1-3年硕士,黄女士人事主管,计算机软件未融资20-99人,"
                                                    SQL
                                                    Python
                                                    Excel
                                                    Tableau
                                                    R
                                        ",SQL,节日福利，五险一金，零食下午茶，定期体检，带薪年假，员工旅游，年终奖,https://www.zhipin.com/job_detail/b7936e8d673f62061nZ62t2_EFVX.html,https://www.zhipin.com/gongsi/abd71e1ede241edc0Xx539S1EA~~.html
数据分析师,沪上阿姨,上海·虹口区·鲁迅公园,13-15K,1-3年本科,朱先生流程与信息部总监,生活服务A轮1000-9999人,"
                                                    数据分析
                                                    数据仓库
                                                    数据采集
                                                    ETL
                                                    DBA
                                        ",数据分析,零食下午茶，带薪年假，定期体检，五险一金，餐补，补充医疗保险，年终奖，节日福利,https://www.zhipin.com/job_detail/af62d0dc85bf3d981nRz3tu5EFNS.html,https://www.zhipin.com/gongsi/0225b455bcf570fe1HJ93dS_.html
数据分析师,火奴数据,杭州·西湖区·西溪,5-10K,1-3年本科,李先生总监,数据服务天使轮100-499人,"
                                                    数据分析
                                        ",数据分析,各类团建，零食下午茶，年终奖，五险一金，健身房，定期体检，员工旅游，带薪年假,https://www.zhipin.com/job_detail/f45a4f4ec364a6a21nV_3Nu7FVtV.html,https://www.zhipin.com/gongsi/d848d6c5bce51eda0nVz3dm1FQ~~.html
数据分析师,贝叶思,昆明·西山区·大观,8-12K,1年以内硕士,马女士人事,其他专业服务不需要融资20-99人,"
                                                    学术论文
                                                    政府公关
                                                    政府事务
                                                    统计
                                                    数据分析
                                        ",学术论文,,https://www.zhipin.com/job_detail/53db18cec47753421nRz0t66EVJZ.html,https://www.zhipin.com/gongsi/6961a86b48eaab051nZy29y1FFc~.html
数据分析师,居美科技,长沙·雨花区·云塘理工,8-13K,3-5年本科,颜女士HR,互联网未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据建模
                                                    SQL
                                        ",数据分析,全勤奖，员工旅游，带薪年假，通讯补贴，节日福利，年终奖，定期体检,https://www.zhipin.com/job_detail/dfa3a0a01c3e490b1nV63tW9FFdX.html,https://www.zhipin.com/gongsi/4abfae943af40a751nd82du_Eg~~.html
数据分析师,A星互动娱乐,深圳·南山区·科技园,15-30K,3-5年本科,刘女士Hr,移动互联网A轮100-499人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,员工旅游，年终奖，定期体检，带薪年假，餐补，零食下午茶，五险一金,https://www.zhipin.com/job_detail/50591b84304836101nR-2ti9FlFR.html,https://www.zhipin.com/gongsi/860a90f52f612ca21XRz2dm_.html
数据分析师,方纬科技,宣城,4-6K,1-3年大专,黄女士HR,计算机软件未融资100-499人,"
                                                    数据分析
                                                    数据库
                                        ",数据分析,年终奖，五险一金，带薪年假，员工旅游，节日福利，定期体检,https://www.zhipin.com/job_detail/717e31a67efd92741nRy3965FVFR.html,https://www.zhipin.com/gongsi/cbe7b9f05047436f1Xx90tq0.html
数据分析师,弘智研究院,广州·越秀区·沿江路,8-10K·13薪,1-3年本科,胡女士招聘者,人力资源服务不需要融资0-20人,"
                                                    数据分析
                                                    数据建模
                                                    商业分析
                                        ",数据分析,包吃，交通补助，员工旅游，节日福利，冬季工作时间，定期体检，五险一金，带薪年假,https://www.zhipin.com/job_detail/61b7a1ffcc05c00c1nV_39i8E1dV.html,https://www.zhipin.com/gongsi/58849cbb546ad1013nR92NS5GQ~~.html
数据分析师,奇点量化资产,杭州·下城区·武林,4-5K,在校/应届本科,丁先生投资经理,证券/期货0-20人,"
                                                    数据分析
                                                    数据采集
                                                    商业分析
                                                    网络爬虫技术
                                                    游戏
                                        ",数据分析,,https://www.zhipin.com/job_detail/3093b83114896ba71nR73N-0FFtX.html,https://www.zhipin.com/gongsi/2ceb48571937674b33143ti9Fw~~.html
数据分析师,运联,北京·海淀区·学院路,9-14K,3-5年本科,于女士人事经理,企业服务未融资20-99人,"
                                                    数据分析
                                        ",数据分析,交通补助，补充医疗保险，五险一金，通讯补贴，餐补，定期体检，零食下午茶，节日福利，员工旅游，带薪年假,https://www.zhipin.com/job_detail/aa1373fe9f335c791nR_3Nm6GVVW.html,https://www.zhipin.com/gongsi/3571748f9abaa5b50n1-29i5Eg~~.html
数据分析师,稻田科技,北京·朝阳区·国贸,30-50K,3-5年本科,何女士招聘主管,计算机软件未融资100-499人,"
                                                    数据分析
                                                    SQL
                                                    Tableau
                                                    BI
                                        ",数据分析,五险一金，加班补助，全勤奖，定期体检，带薪年假,https://www.zhipin.com/job_detail/7856e0dde150c5561nV-3tS_GVdU.html,https://www.zhipin.com/gongsi/342d4ad7e8aab0271HZy2t-7.html
数据分析师,军旺进出口,保山·腾冲市·叠水河,10-11K,3-5年本科,刘先生招聘者,新零售0-20人,"
                                                    数据分析
                                                    大数据
                                        ",数据分析,,https://www.zhipin.com/job_detail/db9214831ee496181nR43N2-FFFZ.html,https://www.zhipin.com/gongsi/7434ae8a7e0e73c71nZ73t21F1Q~.html
数据分析师,潍坊卓易,潍坊,6-8K,经验不限学历不限,姜先生招聘者,咨询0-20人,"
                                                    大数据
                                                    多元统计分析
                                        ",大数据,,https://www.zhipin.com/job_detail/a91b0c2550f075a01nVz09q6E1FZ.html,https://www.zhipin.com/gongsi/a473cf8875897f2c1nd83NS0EFU~.html
数据分析师,太阳花,济宁·任城区·杨柳国际新城,4-8K,1-3年大专,陈女士人事,培训机构不需要融资20-99人,"
                                                    SPSS
                                        ",SPSS,五险一金，全勤奖，通讯补贴，节日福利，餐补，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/bf2dcc2f8026683b1nV93NW-FlVT.html,https://www.zhipin.com/gongsi/c0665cd76b1669281nZ50tu1GVQ~.html
数据分析师,西昊家具,深圳·宝安区·西乡,10-12K,3-5年大专,张先生营运专员,电子商务不需要融资100-499人,"
                                                    SQL
                                                    Python
                                                    Excel
                                                    市场动态分析
                                                    电商分析
                                        ",SQL,节日福利，五险一金，带薪年假，年终奖，全勤奖，定期体检，员工旅游，零食下午茶,https://www.zhipin.com/job_detail/703f2f430b78e3861nVy2dS7FlVY.html,https://www.zhipin.com/gongsi/42c4b3cf9882fffa1nR63N28Ew~~.html
数据分析师,秋恩服饰,哈尔滨·道里区·经纬街,4-5K,1-3年学历不限,杨女士经理,批发/零售20-99人,"
                                                    数据挖掘
                                                    数据分析
                                                    商业分析
                                                    数据开发
                                                    数据仓库
                                        ",数据挖掘,,https://www.zhipin.com/job_detail/1251d611af2398b01nV-3dS0EVdQ.html,https://www.zhipin.com/gongsi/bc39073b08fbeca433V80tm5GQ~~.html
数据分析师,有传,深圳,15-25K,3-5年本科,易女士招聘者,社交网络不需要融资100-499人,"
                                                    SQL
                                                    Python
                                                    BI
                                                    大数据
                                                    Excel
                                        ",SQL,股票期权，通讯补贴，带薪年假，年终奖，交通补助，餐补，节日福利，员工旅游，五险一金,https://www.zhipin.com/job_detail/8f9cf762eab02f6a1nV909u8E1VZ.html,https://www.zhipin.com/gongsi/b0a23dbc8d28aaac1Xx-0t-6EQ~~.html
数据分析师,新希望六和,北京·朝阳区·望京,15-20K,3-5年本科,张女士招聘,农/林/牧/渔已上市10000人以上,"
                                                    审计
                                        ",审计,定期体检，节日福利，交通补助，带薪年假，年终奖，餐补，通讯补贴,https://www.zhipin.com/job_detail/206b5857108fa0161nR_3N2_FVRQ.html,https://www.zhipin.com/gongsi/def94ee9cc6d01d60X192d2_GQ~~.html
数据分析师,融金数科,深圳·南山区·科技园,10-15K·13薪,1-3年本科,罗女士人力资源总监,互联网金融不需要融资20-99人,"
                                                    数据分析
                                                    MySQL
                                                    互联网
                                        ",数据分析,年终奖，不定期团建，股票期权，定期体检，节日福利，员工旅游，零食下午茶，带薪年假，五险一金，生日福利,https://www.zhipin.com/job_detail/bddf4bcebc71a13b1nV-39q8F1pS.html,https://www.zhipin.com/gongsi/4df40c631baefde01nZ82dy9FlI~.html
数据分析师,楷睿智和,杭州·滨江区·长河,20-35K,3-5年大专,李女士猎头顾问,人力资源服务0-20人,"
                                                    SQL
                                                    Python
                                                    SPSS
                                                    Matplotlib
                                        ",SQL,五险一金，年终奖，员工旅游,https://www.zhipin.com/job_detail/cc12a37aa9a440c91nV92dm6GFVX.html,https://www.zhipin.com/gongsi/0c4dc2d48314139033Jz2tm0Fg~~.html
数据分析师,陆泽,大连·沙河口区·软件园,8-13K,3-5年本科,周女士招聘经理,电子商务未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                        ",数据分析,员工旅游，定期体检，补充医疗保险，带薪年假，节日福利，餐补，加班补助，零食下午茶，年终奖，五险一金,https://www.zhipin.com/job_detail/6cbc6425945041621nR93t60E1JW.html,https://www.zhipin.com/gongsi/5df1c88e546bd8331nZ_0tq5FFI~.html
数据分析师,广立微电子,杭州·余杭区·五常,14-28K·16薪,1-3年本科,卢女士人力资源经理,电子/半导体/集成电路100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据架构师
                                        ",数据分析,通讯补贴，年终奖，补充医疗保险，加班补助，带薪年假，员工旅游，生日福利，节日福利，高温补贴，定期体检，五险一金，健身设施，餐补，零食下午茶,https://www.zhipin.com/job_detail/6cfee6ff6ff923461nR62Nu4FVpS.html,https://www.zhipin.com/gongsi/78131218c5afe0e81nd52du_F1I~.html
数据分析师,捷瑞网络技术,北京·海淀区·中关村,20-40K,1-3年本科,郑女士HR,移动互联网A轮20-99人,"
                                                    SQL
                                                    Python
                                                    Tableau
                                                    R
                                                    Spark
                                        ",SQL,年终奖，带薪年假，股票期权,https://www.zhipin.com/job_detail/66aca882001f27e81nZ53du6FFBR.html,https://www.zhipin.com/gongsi/1a61200012cc861633x909y7Ew~~.html
数据分析师,米来智能,杭州·余杭区·五常,4-7K,经验不限学历不限,徐先生数据运营,互联网未融资20-99人,"
                                                    地图导航
                                                    ARCGIS
                                                    FME
                                        ",地图导航,五险一金，年终奖，通讯补贴，节日福利，餐补，加班补助，员工旅游，带薪年假，全勤奖，住房补贴，交通补助，包吃,https://www.zhipin.com/job_detail/bd9f66877def4e921nR42Nu1EFJV.html,https://www.zhipin.com/gongsi/63d615d5ba3a730a3nB73N6-Fg~~.html
数据分析师,苗仓,中山·小榄镇,5-10K,1-3年本科,邓先生招聘者,数据服务天使轮20-99人,"
                                                    数据分析
                                                    数据处理
                                                    数据挖掘
                                        ",数据分析,员工旅游，节日福利，带薪年假，零食下午茶，年终奖，通讯补贴,https://www.zhipin.com/job_detail/4b723b1c222d880c1nJ609u5FlE~.html,https://www.zhipin.com/gongsi/81227940e05c38fe1HZ_3N2_.html
数据分析师,君优曼霓,杭州·西湖区·高新文教区,10-15K,1-3年本科,夏先生人事经理,互联网0-20人,"
                                                    数据分析
                                                    数据挖掘
                                                    Python
                                                    Java
                                        ",数据分析,,https://www.zhipin.com/job_detail/8637f9227baa14391nR-3t20ElNR.html,https://www.zhipin.com/gongsi/8fd73ea1c97135a71nZ52NW7FlY~.html
大数据产品经理 / 数据分析师,曹凯夫食品,株洲·石峰区·田心,15-25K,5-10年本科,曾先生营销总监,食品/饮料/烟酒20-99人,"
                                                    数据仓库
                                                    ETL
                                        ",数据仓库,,https://www.zhipin.com/job_detail/48123530c4e1dda41nV429S6EldX.html,https://www.zhipin.com/gongsi/fc402f8da7927f7e1nZz3dq-E1I~.html
数据分析师,龙德工程,东莞·西平,8-13K,1-3年大专,彭先生董事长,工程施工未融资20-99人,"
                                                    多元统计分析
                                                    Excel
                                                    咨询领域
                                                    云计算
                                                    方差分析
                                        ",多元统计分析,住房补贴，五险，交通补助，包吃,https://www.zhipin.com/job_detail/2b6760f164ec12081nV909S5EVpR.html,https://www.zhipin.com/gongsi/a6064e27cc7799fb1HB93tu4FA~~.html
数据分析师,海管家,苏州·苏州工业园区·车坊,10-15K·13薪,1-3年本科,张先生运营部 经理,计算机软件A轮100-499人,"
                                                    数据分析
                                        ",数据分析,定期体检，带薪年假，节日福利，年终奖，零食下午茶，股票期权，五险一金,https://www.zhipin.com/job_detail/73ff825f5cd3f24d1nR63tW4FVJQ.html,https://www.zhipin.com/gongsi/b924c7e93fd64ee603143tu0FQ~~.html
数据分析师,乐高云智能,西安·雁塔区·高新路,6-7K,3-5年本科,关先生创始人/CEO,互联网未融资20-99人,"
                                                    数据分析
                                                    数据架构
                                                    数据挖掘
                                        ",数据分析,员工旅游，五险一金，加班补助,https://www.zhipin.com/job_detail/a4fa5da3c20167b91nVz2969FFM~.html,https://www.zhipin.com/gongsi/43f8e709516b30de0XJ73t28.html
数据分析师,天正思维,杭州·西湖区·北山,8-10K·14薪,1-3年本科,俞女士人力专员,计算机软件不需要融资100-499人,"
                                                    数据分析
                                                    Tableau
                                                    python
                                                    jupyter
                                        ",数据分析,带薪年假，年终奖，五险一金，员工旅游，节日福利，通讯补贴，定期体检，餐补，零食下午茶,https://www.zhipin.com/job_detail/bbc382afac475ee01nR_2Ni5EVdW.html,https://www.zhipin.com/gongsi/7238ac5ad2d7969033By2966.html
数据分析师,颐家科技,蚌埠·蚌山区·光彩大市场,4-5K,1年以内本科,邵女士HRBP,互联网不需要融资100-499人,"
                                                    数据分析
                                        ",数据分析,住房补贴，零食下午茶，员工旅游，股票期权，全勤奖，五险一金，无息购房购车，节日福利，定期体检，年终奖，包吃,https://www.zhipin.com/job_detail/af570f734840cdee1nV72926EFtS.html,https://www.zhipin.com/gongsi/8c95961b64c66b151nZy2dq8FQ~~.html
数据分析师,宽裕不锈钢,佛山·顺德区·陈村,6-7K,1-3年大专,黄女士数据信息主管,机械设备/机电/重工未融资100-499人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据采集
                                                    数据开发
                                                    数据治理
                                        ",数据分析,全勤奖，包吃，五险一金，餐补，通讯补贴，带薪年假，年终奖，节日福利，零食下午茶，加班补助，员工旅游,https://www.zhipin.com/job_detail/9bb2d65f09c9713a1nR92tm6EFtX.html,https://www.zhipin.com/gongsi/42f1fc39e11265ac1n193tS-GA~~.html
数据分析师,明略科技,北京·朝阳区·望京,7-10K·15薪,1-3年本科,茅女士HRBP,互联网D轮及以上1000-9999人,"
                                                    广告媒介
                                                    广告
                                                    客户执行
                                        ",广告媒介,零食下午茶，带薪年假，加班补助，定期体检，交通补助，补充医疗保险，五险一金，年终奖,https://www.zhipin.com/job_detail/e770ab8b88e64bf31nV82t-_GVdU.html,https://www.zhipin.com/gongsi/579fa7c76f87da121XRy2tw~.html
数据分析师,埃斯美,常州·武进区·常武北路,5-10K,1-3年本科,刘先生人事招聘助理,医疗健康0-20人,"
                                                    数据分析
                                                    商业分析
                                                    SQL
                                        ",数据分析,,https://www.zhipin.com/job_detail/ec2f7ac3ea53278a1nR739W_EVBQ.html,https://www.zhipin.com/gongsi/ecbe3a8fb97ce42633R40ty9GQ~~.html
数据分析师,达令APP,北京·朝阳区·十里堡,15-20K·14薪,5-10年本科,冯女士数据分析师,电子商务D轮及以上100-499人,"
                                                    数据分析
                                                    SQL
                                                    商业分析
                                                    数据挖掘
                                        ",数据分析,定期体检，带薪年假，补充医疗保险，节日福利，五险一金,https://www.zhipin.com/job_detail/5a8f9c1a0c8c496f1nR_2N69EVpU.html,https://www.zhipin.com/gongsi/268554ef22154ada1XN7290~.html
数据分析师,杭州众狼,杭州·江干区·白杨,5-6K,3-5年本科,沈女士HR,电子商务不需要融资20-99人,"
                                                    数据分析
                                        ",数据分析,全勤奖，节日福利，加班补助，补充医疗保险，带薪年假，五险一金，年终奖,https://www.zhipin.com/job_detail/0dc014292efc551d1nR-2tm5E1dX.html,https://www.zhipin.com/gongsi/5a6c53890a562b7d33xy2du8FQ~~.html
数据分析师,琪艺贸易,杭州·江干区·九堡,4-5K,1-3年大专,施先生招聘者,批发/零售0-20人,"
                                                    数据治理
                                                    数据分析
                                        ",数据治理,,https://www.zhipin.com/job_detail/6d506fb60716f2091nR72ty0EVZW.html,https://www.zhipin.com/gongsi/15999d92bcb2a24b0Hxz3d27EA~~.html
数据分析师,千目智能,南昌·青山湖区·京东,4-6K·13薪,1-3年本科,郭女士人力资源部,计算机软件未融资20-99人,"
                                                    数据分析
                                        ",数据分析,,https://www.zhipin.com/job_detail/9b5c40668d53e9ed1nR-2tS0EFpR.html,https://www.zhipin.com/gongsi/43da614b23fd28693nV93Nu_GA~~.html
数据分析师,轻耘智,盐城,8-12K·13薪,3-5年本科,尤先生研发总监,互联网20-99人,"
                                                    数据分析
                                                    数据挖掘
                                                    ETL
                                                    Oracle
                                                    SQL Server
                                        ",数据分析,零食下午茶，年终奖，带薪年假，五险一金，股票期权，员工旅游,https://www.zhipin.com/job_detail/c5137f6ba91c71701nR509y7GFtT.html,https://www.zhipin.com/gongsi/ec8c76ebf512beec331409u-Fg~~.html
数据分析师,博雅大数据学校,北京·海淀区·中关村,10-20K,经验不限硕士,申女士招聘经理,在线教育20-99人,"
                                                    数据分析
                                                    python
                                        ",数据分析,,https://www.zhipin.com/job_detail/fdb21bef2917ece41nZ-2Ni_GFY~.html,https://www.zhipin.com/gongsi/da278f97b0f5f2643nx53dm1.html
数据分析师,成易天下,大庆·让胡路区·阳光嘉城,3-4K,1-3年大专,孟女士总经理,日化0-20人,"
                                                    数据分析
                                                    数据仓库
                                                    商业分析
                                        ",数据分析,,https://www.zhipin.com/job_detail/5f0a1419a138c5ac1nV_2tS1FFtS.html,https://www.zhipin.com/gongsi/1982fe0e362e17a81nd73Nu9ElE~.html
数据分析师,上海燕致网络科技,上海·浦东新区·八佰伴,8-15K,3-5年本科,龚女士人事经理,互联网不需要融资100-499人,"
                                                    数据分析
                                                    MySQL
                                                    SQLServer
                                        ",数据分析,,https://www.zhipin.com/job_detail/66c404a70bd8074a1nF42tm0F1s~.html,https://www.zhipin.com/gongsi/f5d7d32269ea69321Hx82tS6.html
