名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,好未来,北京·海淀区·中关村,15-20K,1-3年硕士,陶先生招聘者,互联网已上市10000人以上,"
                                                    数据分析
                                                    hive
                                                    数据建模
                                                    SQL
                                                    R
                                        ",数据分析,全勤奖，带薪年假，购房福利，商业保险，不定期培训，补充医疗保险，定期体检，节日福利，餐补，五险一金，年终奖,https://www.zhipin.com/job_detail/82a00883282eb3e31nV63d-0GVFY.html,https://www.zhipin.com/gongsi/efa878c051261c7433Z6.html
数据分析师,同盾科技,杭州·余杭区·未来科技城,14-28K·15薪,3-5年本科,宗女士HRBP,互联网D轮及以上1000-9999人,"
                                                    数据挖掘
                                                    Python
                                                    hive
                                                    Hive
                                                    HIVE
                                        ",数据挖掘,带薪年假，节日福利，五险一金，补充医疗保险，定期体检，加班补助，年终奖，股票期权,https://www.zhipin.com/job_detail/5609e74ea0d607171nV_3tS6F1BZ.html,https://www.zhipin.com/gongsi/3f202655165cce243nx82Ns~.html
数据分析师,爱回收,北京·大兴区·亦庄,10-15K·14薪,1-3年本科,沈先生招聘者,互联网D轮及以上1000-9999人,"
                                                    数据分析
                                                    商业分析
                                                    Python
                                                    SQL
                                                    Hive
                                        ",数据分析,带薪年假，零食下午茶，年终奖，节日福利，加班补助,https://www.zhipin.com/job_detail/b134fa121e62d0011nR83tu_EVJR.html,https://www.zhipin.com/gongsi/442c8e2f3f7d54293nxz294~.html
数据分析师,饿了么,上海·普陀区·长征,10-11K,1-3年本科,余女士数据分析师,O2O不需要融资10000人以上,"
                                                    数据分析
                                        ",数据分析,五险一金，员工旅游，交通补助，年终奖，通讯补贴，股票期权，餐补，公司团建，免费班车，补充医疗保险，包吃，定期体检，节日福利，带薪年假，零食下午茶,https://www.zhipin.com/job_detail/eed6467ab5cf004d1nR82d-7FVJV.html,https://www.zhipin.com/gongsi/12e92393bff967950HNy3w~~.html
数据分析师,小米,北京·海淀区·清河,30-50K·14薪,5-10年本科,索先生金融国际业务总监,互联网已上市10000人以上,"
                                                    Python
                                                    BI
                                                    消费金融
                                                    SQL
                                                    Hive
                                        ",Python,零食下午茶，免费班车，节日福利，加班补助，餐补，定期体检，带薪年假，补充医疗保险，五险一金，年终奖，全勤奖，12%公积金,https://www.zhipin.com/job_detail/d895b3ea11d1ed8e1nVy2dS5FFtR.html,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
数据分析师,猿辅导,北京·朝阳区·望京,15-25K,1-3年本科,王女士HRBP主管,在线教育D轮及以上10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,补充医疗保险，餐补，通讯补贴，股票期权，带薪年假，五一九天假，交通补助，节日福利，员工旅游，零食下午茶，定期体检，五险一金，年终奖,https://www.zhipin.com/job_detail/a766cffe1f7f50451nR72tu6GFZU.html,https://www.zhipin.com/gongsi/e58a905a026d9a270nR53tq9FA~~.html
数据分析师,中电文思海辉,无锡·新吴区·新安,7-12K,1-3年本科,刘女士招聘专员,计算机软件不需要融资10000人以上,"
                                                    数据分析
                                                    数据建模
                                                    数据采集
                                                    数据仓库
                                                    数据挖掘
                                        ",数据分析,通讯补贴，带薪年假，补充医疗保险，定期体检，免费班车，节日福利，年终奖，五险一金,https://www.zhipin.com/job_detail/7f89618ce0ea75f11nV_0tS7EVVR.html,https://www.zhipin.com/gongsi/0422baabbc48d3d81nd_3dq8GVs~.html
数据分析师,快手,北京,20-40K·16薪,3-5年本科,田女士产品专家,社交网络已上市10000人以上,"
                                                    SQL
                                                    Python
                                        ",SQL,补充医疗保险，节日福利，住房补贴，五险一金，定期体检，年终奖，包吃，带薪年假，零食下午茶，股票期权，加班补助,https://www.zhipin.com/job_detail/4e14075e031b96891nV93NW0FVZY.html,https://www.zhipin.com/gongsi/480261c022ea03d81nV53tQ~.html
数据分析师 (MJ000155),傲基科技,深圳,9-14K,1-3年本科,汪先生高级招聘主管,电子商务B轮1000-9999人,"
                                                    商业分析
                                        ",商业分析,五险一金,https://www.zhipin.com/job_detail/052105417dbe891a1nVz0tS6F1FS.html,https://www.zhipin.com/gongsi/4b9cbb449115225503Rz2d4~.html
数据分析师,北京尚德机构,广州·黄埔区·科学城,8-12K,1-3年大专,谢先生HR,在线教育已上市10000人以上,"
                                                    Excel
                                                    BI
                                                    大数据
                                                    咨询领域
                                                    Microsoft 
                                        ",Excel,五险一金，带薪年假，加班补助，节日福利，免费考证，年终奖，补充医疗保险,https://www.zhipin.com/job_detail/3b6a4eec63d473411nVz3N-7FVFU.html,https://www.zhipin.com/gongsi/2ee772573e1dde161Hd50tk~.html
