客户编码,R,F,M,labels
S12621,27,13,1241425.0,1
S12638,26,29,4306595.0,1
S12660,31,32,5075014.0,1
S12675,29,60,7613494.0,0
S12688,22,20,2486835.0,1
S12690,146,7,917233.0,2
S12713,71,14,1202530.0,2
S12719,3,54,8170462.0,0
S12746,23,26,4370267.0,1
S12763,34,72,10346415.0,0
S12770,11,23,3228379.0,1
S12804,21,22,3192342.0,1
S12814,7,47,6543973.0,0
S12832,6,20,2825122.0,1
S12840,88,5,727759.0,2
S12848,1,66,9673572.0,0
S12869,76,17,2844651.0,2
S12871,23,62,8503332.0,0
S12897,16,17,2227655.0,1
S12908,24,10,1142344.0,1
S12979,86,9,1181991.0,2
S12993,32,22,3413246.0,1
S13004,12,13,1256723.0,1
S13008,38,33,3841370.0,1
S13020,31,55,7930990.0,0
S13033,37,11,1805071.0,1
S13058,22,25,3079268.0,1
S13061,34,36,4831911.0,0
S13067,20,25,3686213.0,1
S13070,62,11,1678263.0,2
S13083,1,25,3498771.0,1
S13102,33,29,3446675.0,1
S13106,15,39,4699592.0,0
S13107,7,31,4344524.0,1
S13115,30,35,4696426.0,1
S13119,20,35,5727973.0,0
S13157,11,36,4911588.0,0
S13166,8,62,9064290.0,0
S13200,21,73,11769422.0,0
S13202,13,27,4323822.0,1
S13205,114,11,2699168.0,2
S13222,132,13,1759095.0,2
S13232,68,13,2285906.0,2
S13234,9,59,8950209.0,0
S13235,71,30,3924448.0,2
S13238,20,18,2401658.0,1
S13244,12,59,10087095.0,0
S13257,8,38,4889450.0,0
S13259,121,6,645925.0,2
S13266,14,35,4662074.0,0
S13281,3,27,3746023.0,1
S13287,34,47,6384700.0,0
S13298,10,41,6022499.0,0
S13312,46,22,2961518.0,1
S13359,91,16,2293300.0,2
S13380,6,32,5125780.0,0
S13440,54,39,5576857.0,0
S13453,35,18,2415248.0,1
S13467,14,14,1864938.0,1
S13473,0,6,834163.0,1
S13487,52,28,4408935.0,1
S13492,68,27,3505104.0,2
S13498,6,36,5558329.0,0
S13509,53,7,1140269.0,2
S13524,16,14,2023889.0,1
S13535,60,14,1985606.0,2
S13539,48,20,2101742.0,1
S13554,1,23,2593259.0,1
S13568,34,48,6100127.0,0
S13571,19,38,5710877.0,0
S13578,7,58,7126398.0,0
S13589,21,8,1030727.0,1
S13622,44,14,1806222.0,1
S13627,22,37,5108900.0,0
S13642,19,21,2473015.0,1
S13643,20,28,3958861.0,1
S13654,25,19,2629272.0,1
S13664,68,45,6126479.0,0
S13676,3,27,3502977.0,1
S13701,13,39,5381256.0,0
S13711,70,32,4544393.0,2
S13712,3,21,3177585.0,1
S13716,4,38,4952730.0,0
S13734,7,40,5053739.0,0
S13766,35,15,1907887.0,1
S13768,33,24,3209913.0,1
S13775,77,8,1726209.0,2
S13780,1,33,5490310.0,0
S13795,17,15,1992546.0,1
S13802,6,39,5491391.0,0
S13810,43,10,1393635.0,1
S13825,17,11,2006187.0,1
S13839,18,24,3057519.0,1
S13850,48,10,1256288.0,1
S13861,45,14,1581863.0,1
S13862,78,9,1307686.0,2
S13870,0,40,5727591.0,0
S13871,20,26,4574347.0,1
S13886,36,43,5831917.0,0
S13900,58,12,1860344.0,2
S13928,15,9,1395265.0,1
S13934,29,19,2977390.0,1
S13966,27,28,4017983.0,1
S13981,28,21,2418082.0,1
S14004,55,16,2687756.0,1
S14033,3,21,3269717.0,1
S14049,14,9,1455535.0,1
S14052,20,67,10672627.0,0
S14059,31,38,6436567.0,0
S14068,26,10,1267892.0,1
S14069,123,8,1144624.0,2
S14106,18,71,8761285.0,0
S14115,39,25,2528990.0,1
S14137,0,41,5522367.0,0
S14150,23,14,1865752.0,1
S14207,29,27,3282321.0,1
S14213,26,61,7577431.0,0
S14231,25,48,7232280.0,0
S14250,22,36,5712767.0,0
S14258,57,41,5589815.0,0
S14260,21,26,3243317.0,1
S14268,22,27,4110562.0,1
S14278,24,27,3856762.0,1
S14280,6,22,3136162.0,1
S14308,57,46,6565452.0,0
S14311,40,12,2099929.0,1
S14313,0,60,7297569.0,0
S14319,42,25,3684695.0,1
S14321,1,23,3094045.0,1
S14322,26,17,2343087.0,1
S14335,32,19,3022452.0,1
S14339,73,19,2167011.0,2
S14357,43,20,3116932.0,1
S14362,49,36,6282091.0,0
S14370,114,8,2160151.0,2
S14376,12,52,6831829.0,0
S14389,48,37,5122037.0,0
S14393,30,18,3001685.0,1
S14412,110,33,4358357.0,2
S14421,0,47,6367685.0,0
S14422,30,38,6678485.0,0
S14424,47,7,1109924.0,1
S14444,0,50,6582929.0,0
S14453,6,59,7401804.0,0
S14454,21,20,2432937.0,1
S14495,40,28,3319465.0,1
S14503,6,56,7242467.0,0
S14506,37,22,3200288.0,1
S14517,28,23,3098755.0,1
S14525,4,28,4232154.0,1
S14536,59,15,1729832.0,2
S14543,34,30,4351406.0,1
S14544,55,22,3344697.0,1
S14563,56,17,2125719.0,2
S14593,13,45,6696541.0,0
S14630,36,40,5310820.0,0
S14649,26,48,7440821.0,0
S14664,5,30,3409765.0,1
S14681,124,9,1409069.0,2
S14689,9,28,3540788.0,1
